
   INFO  Server running on [http://127.0.0.1:8001].  

  Press Ctrl+C to stop the server
  2026-07-22 12:01:52 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:52 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:52 /bench1 ...................................... ~ 0.35ms
  2026-07-22 12:01:52 /bench1 ...................................... ~ 0.67ms
  2026-07-22 12:01:52 /bench1 .................................... ~ 505.32ms
  2026-07-22 12:01:52 /bench1 .................................... ~ 505.34ms
  2026-07-22 12:01:52 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:52 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:52 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:52 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:52 /bench1 ...................................... ~ 0.22ms
  2026-07-22 12:01:52 /bench1 ...................................... ~ 0.22ms
  2026-07-22 12:01:52 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:52 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:52 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:52 /bench1 .................................... ~ 505.32ms
  2026-07-22 12:01:52 /bench1 .................................... ~ 505.34ms
  2026-07-22 12:01:53 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:53 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:53 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:53 /bench1 ...................................... ~ 0.21ms
